"","ID","dataset_id","country","site","longitude","latitude","on_farm","variety","nut_response_eval","yield","N_fertilizer","N_splits","P_fertilizer","K_fertilizer","year","planting_date","harvest_date","dif","source","N100","P100","K100","blup_NGA","Ywp","N_base_supply","P_base_supply","K_base_supply","pyear","totalRF"
"54","10.0287754-10.6228284","doi_10.25502_RGB5-GA15_D","Nigeria","",10.0287754,10.6228284,TRUE,"Sammaz 15","NP",2846,14,NA,14,0,"2017",2017-06-01,2017-11-01,153,"Carob",0.14,0.14,0,2119.87240441633,10245,38.4000015258789,5.30000019073486,90.9000015258789,2017,896.888221979141
"55","10.0287754-10.6228284","doi_10.25502_RGB5-GA15_D","Nigeria","",10.0287754,10.6228284,TRUE,"Sammaz 15","Control",816,0,NA,0,0,"2017",2017-06-01,2017-11-01,153,"Carob",0,0,0,965.432102790767,10245,38.4000015258789,5.30000019073486,90.9000015258789,2017,896.888221979141
"56","10.0287754-10.6228284","doi_10.25502_RGB5-GA15_D","Nigeria","",10.0287754,10.6228284,TRUE,"Sammaz 15","NPK",1131,15,NA,7,12,"2017",2017-06-01,2017-11-01,153,"Carob",0.15,0.07,0.12,2006.31793541784,10245,38.4000015258789,5.30000019073486,90.9000015258789,2017,896.888221979141
"57","10.0287754-10.6228284","doi_10.25502_RGB5-GA15_D","Nigeria","",10.0287754,10.6228284,TRUE,"Sammaz 15","NPK",1372,11,NA,9,18,"2017",2017-06-01,2017-11-01,153,"Carob",0.11,0.09,0.18,2181.39043217158,10245,38.4000015258789,5.30000019073486,90.9000015258789,2017,896.888221979141
"58","10.0287754-10.6228284","doi_10.25502_RGB5-GA15_D","Nigeria","",10.0287754,10.6228284,TRUE,"Sammaz 15","NP",1480,14,NA,14,0,"2017",2017-06-01,2017-11-01,153,"Carob",0.14,0.14,0,2119.87240441633,10245,38.4000015258789,5.30000019073486,90.9000015258789,2017,896.888221979141
"59","10.0287754-10.6228284","doi_10.25502_RGB5-GA15_D","Nigeria","",10.0287754,10.6228284,TRUE,"Sammaz 15","Control",328,0,NA,0,0,"2017",2017-06-01,2017-11-01,153,"Carob",0,0,0,965.432102790767,10245,38.4000015258789,5.30000019073486,90.9000015258789,2017,896.888221979141
"60","10.0287754-10.6228284","doi_10.25502_RGB5-GA15_D","Nigeria","",10.0287754,10.6228284,TRUE,"Sammaz 15","NPK",2217,15,NA,7,12,"2017",2017-06-01,2017-11-01,153,"Carob",0.15,0.07,0.12,2006.31793541784,10245,38.4000015258789,5.30000019073486,90.9000015258789,2017,896.888221979141
"61","10.0287754-10.6228284","doi_10.25502_RGB5-GA15_D","Nigeria","",10.0287754,10.6228284,TRUE,"Sammaz 15","NPK",1948,11,NA,9,18,"2017",2017-06-01,2017-11-01,153,"Carob",0.11,0.09,0.18,2181.39043217158,10245,38.4000015258789,5.30000019073486,90.9000015258789,2017,896.888221979141
"62","10.0287754-10.6228284","doi_10.25502_RGB5-GA15_D","Nigeria","",10.0287754,10.6228284,TRUE,"Sammaz 15","NP",2233,14,NA,14,0,"2017",2017-06-01,2017-11-01,153,"Carob",0.14,0.14,0,2119.87240441633,10245,38.4000015258789,5.30000019073486,90.9000015258789,2017,896.888221979141
"63","10.0287754-10.6228284","doi_10.25502_RGB5-GA15_D","Nigeria","",10.0287754,10.6228284,TRUE,"Sammaz 15","Control",496,0,NA,0,0,"2017",2017-06-01,2017-11-01,153,"Carob",0,0,0,965.432102790767,10245,38.4000015258789,5.30000019073486,90.9000015258789,2017,896.888221979141
